ACC=0.598227, f1_macro=0.526814, precision_macro=0.578355, recall_macro=0.537781, f1_micro=0.598227, precision_micro=0.598227, recall_micro=0.598227, NMI=0.502650, ADJ_RAND_SCORE=0.374963
ACC=0.615583, f1_macro=0.579537, precision_macro=0.634019, recall_macro=0.580263, f1_micro=0.615583, precision_micro=0.615583, recall_micro=0.615583, NMI=0.503844, ADJ_RAND_SCORE=0.388782
ACC=0.686484, f1_macro=0.670331, precision_macro=0.709605, recall_macro=0.671996, f1_micro=0.686484, precision_micro=0.686484, recall_micro=0.686484, NMI=0.537689, ADJ_RAND_SCORE=0.457709
ACC=0.653619, f1_macro=0.647167, precision_macro=0.695635, recall_macro=0.648968, f1_micro=0.653619, precision_micro=0.653619, recall_micro=0.653619, NMI=0.526617, ADJ_RAND_SCORE=0.421615
ACC=0.616322, f1_macro=0.602298, precision_macro=0.647066, recall_macro=0.608044, f1_micro=0.616322, precision_micro=0.616322, recall_micro=0.616322, NMI=0.512053, ADJ_RAND_SCORE=0.409847
ACC=0.656942, f1_macro=0.643946, precision_macro=0.702989, recall_macro=0.643251, f1_micro=0.656942, precision_micro=0.656942, recall_micro=0.656942, NMI=0.516710, ADJ_RAND_SCORE=0.425089
ACC=0.684269, f1_macro=0.668289, precision_macro=0.707493, recall_macro=0.670004, f1_micro=0.684269, precision_micro=0.684269, recall_micro=0.684269, NMI=0.535394, ADJ_RAND_SCORE=0.454191
ACC=0.608567, f1_macro=0.588687, precision_macro=0.698282, recall_macro=0.593158, f1_micro=0.608567, precision_micro=0.608567, recall_micro=0.608567, NMI=0.505267, ADJ_RAND_SCORE=0.386592
ACC=0.669129, f1_macro=0.616453, precision_macro=0.635051, recall_macro=0.630838, f1_micro=0.669129, precision_micro=0.669129, recall_micro=0.669129, NMI=0.517353, ADJ_RAND_SCORE=0.426961
ACC=0.641802, f1_macro=0.618692, precision_macro=0.661548, recall_macro=0.622456, f1_micro=0.641802, precision_micro=0.641802, recall_micro=0.641802, NMI=0.526165, ADJ_RAND_SCORE=0.448640
ACC=0.688700, f1_macro=0.628898, precision_macro=0.641354, recall_macro=0.648180, f1_micro=0.688700, precision_micro=0.688700, recall_micro=0.688700, NMI=0.525208, ADJ_RAND_SCORE=0.439390
ACC=0.592688, f1_macro=0.521454, precision_macro=0.568402, recall_macro=0.535291, f1_micro=0.592688, precision_micro=0.592688, recall_micro=0.592688, NMI=0.492786, ADJ_RAND_SCORE=0.358933
ACC=0.615214, f1_macro=0.599369, precision_macro=0.643848, recall_macro=0.606067, f1_micro=0.615214, precision_micro=0.615214, recall_micro=0.615214, NMI=0.516474, ADJ_RAND_SCORE=0.415027
ACC=0.686115, f1_macro=0.669260, precision_macro=0.708123, recall_macro=0.671044, f1_micro=0.686115, precision_micro=0.686115, recall_micro=0.686115, NMI=0.536382, ADJ_RAND_SCORE=0.457656
ACC=0.666174, f1_macro=0.651323, precision_macro=0.695452, recall_macro=0.651986, f1_micro=0.666174, precision_micro=0.666174, recall_micro=0.666174, NMI=0.514187, ADJ_RAND_SCORE=0.427314
ACC=0.665066, f1_macro=0.648784, precision_macro=0.691286, recall_macro=0.650062, f1_micro=0.665066, precision_micro=0.665066, recall_micro=0.665066, NMI=0.511938, ADJ_RAND_SCORE=0.428474
ACC=0.593058, f1_macro=0.521638, precision_macro=0.568288, recall_macro=0.535632, f1_micro=0.593058, precision_micro=0.593058, recall_micro=0.593058, NMI=0.493311, ADJ_RAND_SCORE=0.359481
ACC=0.689808, f1_macro=0.629345, precision_macro=0.641663, recall_macro=0.648536, f1_micro=0.689808, precision_micro=0.689808, recall_micro=0.689808, NMI=0.524188, ADJ_RAND_SCORE=0.440161
ACC=0.641433, f1_macro=0.616592, precision_macro=0.652852, recall_macro=0.623567, f1_micro=0.641433, precision_micro=0.641433, recall_micro=0.641433, NMI=0.520758, ADJ_RAND_SCORE=0.441373
ACC=0.597858, f1_macro=0.524991, precision_macro=0.576028, recall_macro=0.536028, f1_micro=0.597858, precision_micro=0.597858, recall_micro=0.597858, NMI=0.498214, ADJ_RAND_SCORE=0.371936
ACC=0.652142, f1_macro=0.644531, precision_macro=0.693498, recall_macro=0.647446, f1_micro=0.652142, precision_micro=0.652142, recall_micro=0.652142, NMI=0.526146, ADJ_RAND_SCORE=0.419738
ACC=0.659527, f1_macro=0.643809, precision_macro=0.703386, recall_macro=0.643214, f1_micro=0.659527, precision_micro=0.659527, recall_micro=0.659527, NMI=0.517589, ADJ_RAND_SCORE=0.429422
ACC=0.612260, f1_macro=0.553734, precision_macro=0.567802, recall_macro=0.572373, f1_micro=0.612260, precision_micro=0.612260, recall_micro=0.612260, NMI=0.500802, ADJ_RAND_SCORE=0.406204
ACC=0.687223, f1_macro=0.666803, precision_macro=0.706905, recall_macro=0.669170, f1_micro=0.687223, precision_micro=0.687223, recall_micro=0.687223, NMI=0.535475, ADJ_RAND_SCORE=0.461617
